id,nombre,costo,precio_venta
346,DUCADOS BUDIN X300 GALES,1609.2,1788.0
347,DUCADOS BUDIN X300 LIMON C/SEMILLA,1609.2,1788.0
348,DUCADOS BUDIN X300 NARANJA C/CASC,1609.2,1788.0
349,DUCADOS BUDIN X300 RELL MARACUYA,1609.2,1788.0
350,DUCADOS BUDIN X300 VAINILLA C/FRUTA,1609.2,1788.0
351,DUCADOS BUDIN X300 VIT C/SEMILLAS,1609.2,1788.0
352,DUCADOS BUDIN X350 RELL D/LECHE,1609.2,1788.0
353,DUCADOS BUDIN X350 RELL F/BOSQUE,1609.2,1788.0
354,DUCADOS BUDIN X350 RELL MANZANA,1609.2,1788.0
355,DUCADOS BUDIN X350 RELL MARROC,1609.2,1788.0
356,*PILAS DURACEL AA X14 U-,688.5,765.0
357,*PILAS DURACEL AAA X14 U -,688.5,765.0
358,EDRA PEPAS X180GS.,389.7,433.0
359,EDRA PEPAS X350GS.,762.3,847.0
360,*PAÑUELITOS ELEGANTE-,0.0,0.0
361,*PAÑUELITOS ELITE -,931.5,1035.0
362,*PILAS ENERGIZER AA X10 U-,558.9,621.0
363,*PILAS ENERGIZER AAA X10 U-,558.9,621.0
364,FACHITAS TAPITAS X200GS,800.1,889.0
365,FACHITAS TAPITAS X400GS,1530.0,1700.0
366,FACHITAS CORON CH/BCO X140,646.2,718.0
367,FACHITAS CORON CHOCOL X140,646.2,718.0
368,FACHITAS CORON D/LECHE X140,646.2,718.0
369,FACHITAS CORON DURAZNO X140,646.2,718.0
370,FACHITAS CORON F/BOSQUE X140,646.2,718.0
371,FACHITAS CORON FRAMBU X140,646.2,718.0
372,FACHITAS CORON FRUTILLA X140,646.2,718.0
373,FACHITAS CORON LIMON X140,646.2,718.0
374,FACHITAS CORON VAINILLA X140,646.2,718.0
375,FANTOCHE ALF TRIPLE BLANCO X1,524.7,583.0
376,FANTOCHE ALF TRIPLE NEGRO X1,524.7,583.0
377,FANTOCHE ESPUMITA X300G,897.3,997.0
378,FANTOCHE HOROSCOPO X300,1008.0,1120.0
379,FANTOCHE MARMOLADA X350,1008.0,1120.0
380,FANTOCHE YAYITA BLACK X250,1008.0,1120.0
381,FANTOCHE YAYITA X275GS.,1008.0,1120.0
382,FANTOCHE ESPUMITA X300G,897.3,997.0
383,FANTOCHE HOROSCOPO X300,1008.0,1120.0
384,FANTOCHE MARMOLADA X350,1008.0,1120.0
385,FANTOCHE YAYITA BLACK X250,1008.0,1120.0
386,FANTOCHE YAYITA X275GS.,1008.0,1120.0
387,REFRESCO TUTI X 12U ,5094.0,5660.0
388,REFREZCO ROJO X12 U,5094.0,5660.0
389,REFREZCO MANDARINA X12 U ,5094.0,5660.0
390,REFREZCO NARANJA X12 U ,5094.0,5660.0
